title,release_year,rating,popularity,genres,poster_url
Reality Bites,1994,6.57,3.3614,"['Drama', 'Romance', 'Comedy']",https://image.tmdb.org/t/p/w500/qGDhodtpkpxkrFqokenGNJlzt6w.jpg
Disclosure,1994,6.247,4.8911,"['Thriller', 'Drama', 'Crime']",https://image.tmdb.org/t/p/w500/dnA4QkIZZCF9wRtF8HHxWwUXVMf.jpg
The Legend of Drunken Master,1994,7.419,3.7914,"['Action', 'Comedy']",https://image.tmdb.org/t/p/w500/xqUBrSBtPYLvCtfqHF5sapU6Div.jpg
3 Ninjas Kick Back,1994,5.61,3.7435,"['Family', 'Adventure', 'Action', 'Comedy']",https://image.tmdb.org/t/p/w500/kXuh3c0DyvqSGo0DBatoemBwEtz.jpg
Drop Zone,1994,5.7,4.0458,"['Action', 'Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/bbveyfmq6pGrzKL0l4waeA2WHHp.jpg
To Live,1994,8.067,3.1735,"['Drama', 'Romance', 'War']",https://image.tmdb.org/t/p/w500/bv0qREWTw8TPAtgt22ELp1UlKVl.jpg
The Getaway,1994,5.711,4.0156,"['Action', 'Crime', 'Mystery', 'Thriller']",https://image.tmdb.org/t/p/w500/ftbdJTJi6mR5iZV5ESJWv8f8pWN.jpg
Angels in the Outfield,1994,5.959,4.0262,"['Comedy', 'Family', 'Fantasy']",https://image.tmdb.org/t/p/w500/7WRt6l7tiXVPG9zLco1rwy5Ffw9.jpg
North,1994,4.988,4.3824,"['Comedy', 'Family', 'Fantasy', 'Adventure', 'Drama']",https://image.tmdb.org/t/p/w500/e4JEG7dstmurXMUPOW9Jy6UDR9F.jpg
Pom Poko,1994,7.176,2.9463,"['Adventure', 'Animation', 'Fantasy']",https://image.tmdb.org/t/p/w500/zat2MMhejQyJJN6CucLI9Or9kdo.jpg
The Client,1994,6.7,3.1246,"['Drama', 'Thriller', 'Crime', 'Mystery']",https://image.tmdb.org/t/p/w500/oLdkJ4ZjxPtFSUChdjDQvHM9l75.jpg
It Could Happen to You,1994,6.7,3.3255,"['Comedy', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/6UOaeLDOdwwTMQtbl5YL6EGjqy0.jpg
The River Wild,1994,6.427,3.9194,"['Adventure', 'Thriller', 'Drama']",https://image.tmdb.org/t/p/w500/cvnEUdVXeuiE1qUXsmMzs8IrNl7.jpg
Intersection,1994,5.1,3.8057,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/xRMbpD2WRxpVcU6Vvws32GkMxin.jpg
The NeverEnding Story III,1994,4.465,3.8752,"['Fantasy', 'Family']",https://image.tmdb.org/t/p/w500/o75HHfr23sgeqIeUPwjKY0V9Ppi.jpg
Prêt-à-Porter,1994,5.2,3.9917,['Comedy'],https://image.tmdb.org/t/p/w500/ehg1dTxsqx2eMZpd5Tio9JifwqB.jpg
Little Odessa,1994,6.448,3.9359,"['Drama', 'Crime']",https://image.tmdb.org/t/p/w500/80zDn3oanRMWDSDX1cPKZVIi8OO.jpg
Muriel's Wedding,1994,6.8,3.3059,"['Comedy', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/zJyTr8Fo412a2OIfJGXTRAm4IwX.jpg
Color of Night,1994,5.744,3.5193,"['Romance', 'Mystery', 'Thriller']",https://image.tmdb.org/t/p/w500/w1OBPkf3BxeC7543YzFwiKIwBFJ.jpg
Fist of Legend,1994,7.5,3.4749,['Action'],https://image.tmdb.org/t/p/w500/Aqa1Yuog2OFrduwSffxZc2w4Tnk.jpg
The Pagemaster,1994,6.4,3.5943,"['Family', 'Fantasy', 'Animation']",https://image.tmdb.org/t/p/w500/1NM0W9fwe2IZ4SPdN5OCNKjkrqN.jpg
Death Wish V: The Face of Death,1994,5.545,3.9479,"['Action', 'Crime', 'Drama']",https://image.tmdb.org/t/p/w500/kFXm4aUMCrCtjP1nvp5gRPmseNe.jpg
Crayon Shin-chan: The Hidden Treasure of the Buri Buri Kingdom,1994,7.011,3.7725,"['Comedy', 'Animation', 'Adventure']",https://image.tmdb.org/t/p/w500/pKAKgrrz4jyl7HlQETu8grWR3t4.jpg
Nightwatch,1994,6.926,2.7694,"['Horror', 'Thriller']",https://image.tmdb.org/t/p/w500/oLBn0MUMMeC71udetLOa1lP7eFL.jpg
Police Academy: Mission to Moscow,1994,4.625,3.3894,"['Comedy', 'Crime']",https://image.tmdb.org/t/p/w500/3517XQ9LpoEykyYq2TuDNS45MPP.jpg
Twin Sitters,1994,6.3,3.1026,"['Comedy', 'Family', 'Thriller']",https://image.tmdb.org/t/p/w500/nFnpQ0WaXYJszWR1P40ZF5sw0Tl.jpg
Wyatt Earp,1994,6.772,2.9614,"['Western', 'Drama', 'Action', 'Adventure']",https://image.tmdb.org/t/p/w500/51LItgyecu2KMAtIchYogEykCIu.jpg
Save Me,1994,4.3,3.3338,"['Mystery', 'Thriller']",https://image.tmdb.org/t/p/w500/l2U4rHA2Nv2V6DatCeaqDyUPv5J.jpg
Shallow Grave,1994,7.0,2.8557,"['Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/gqvSKLbfIg1mja1ulVkVcLhdwWF.jpg
Monkey Trouble,1994,5.729,3.3076,"['Comedy', 'Family']",https://image.tmdb.org/t/p/w500/XnEXrR8SKWQmmvjtjRoAXROEj.jpg
A Chinese Torture Chamber Story,1994,5.683,3.2329,"['Horror', 'Comedy', 'Drama']",https://image.tmdb.org/t/p/w500/wbMoB0gCTA9oKz75YuE8szcCjfJ.jpg
Ranma ½: One Flew Over the Kuno's Nest,1994,7.6,3.7681,"['Animation', 'Comedy', 'Action', 'Adventure']",https://image.tmdb.org/t/p/w500/cEMYFKZdLMNlYoGixnCzFsDsW3d.jpg
Godzilla vs. SpaceGodzilla,1994,6.8,2.8047,"['Action', 'Adventure', 'Science Fiction']",https://image.tmdb.org/t/p/w500/zsPR2wpPpOOCG5Xvc0WHJz34kyX.jpg
New Nightmare,1994,6.434,2.9916,"['Horror', 'Mystery', 'Fantasy']",https://image.tmdb.org/t/p/w500/eN3UZUYapJ2CJCD9dN0LUZLouKa.jpg
Mixed Nuts,1994,5.4,3.1034,"['Comedy', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/rI5oZR0ov3ki72Gy1QDM8XJ43mo.jpg
Legend of the Red Dragon,1994,7.0,3.3043,"['Action', 'Comedy', 'Thriller']",https://image.tmdb.org/t/p/w500/57kngzlMiKkn6yg5lDfcxNmcYF4.jpg
Three Colors: Red,1994,7.91,3.2854,"['Drama', 'Mystery', 'Romance']",https://image.tmdb.org/t/p/w500/JHmsBiX1tjCKqAul1lzC20WcAW.jpg
Major League II,1994,5.708,3.7271,['Comedy'],https://image.tmdb.org/t/p/w500/2QAb0gZusyMsZ1W5ce85plVciDp.jpg
Three Colors: White,1994,7.453,3.0457,"['Comedy', 'Drama', 'Mystery']",https://image.tmdb.org/t/p/w500/fdIet3NSa27gobMbaUml66oCQNT.jpg
The Santa Clause,1994,6.487,2.6868,"['Fantasy', 'Drama', 'Comedy', 'Family']",https://image.tmdb.org/t/p/w500/hvV2rI60qOYELT7tHHLpxtafnBZ.jpg
Don Juan DeMarco,1994,6.72,3.4255,"['Romance', 'Drama', 'Comedy']",https://image.tmdb.org/t/p/w500/fe0TuYz9jCKUba2Omj48K8bWJ8z.jpg
Satantango,1994,8.1,2.6934,['Drama'],https://image.tmdb.org/t/p/w500/y38z0v4HJ12MHiKddLEoFlvPiBt.jpg
Crooklyn,1994,6.816,3.3825,"['Comedy', 'Drama']",https://image.tmdb.org/t/p/w500/iFqe07F78SO0SIBzWcK4I5MwNvP.jpg
On Deadly Ground,1994,5.2,3.519,"['Action', 'Adventure', 'Thriller']",https://image.tmdb.org/t/p/w500/8jnO8EByAsfupWj9RjQxYAO4AUH.jpg
Love Affair,1994,5.4,3.3885,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/mQMCPf0GUaOjKYFTdmL8w8udnJX.jpg
Treasure Island: The Adventure Begins,1994,9.0,1.659,"['Adventure', 'Family']",https://image.tmdb.org/t/p/w500/zCjLIX47vxNF677RKDlQegqIIlA.jpg
Fatal Fury: The Motion Picture,1994,7.3,4.3233,"['Action', 'Animation', 'Fantasy']",https://image.tmdb.org/t/p/w500/9s3eqjjRyAK8E9jyPTm14BiZfae.jpg
Queen Margot,1994,7.185,2.1955,"['Drama', 'History', 'Romance']",https://image.tmdb.org/t/p/w500/8uGkhBLiJMIkwohGPo3iB9AuwDg.jpg
L'été de Zora,1994,0.0,2.8545,"['Comedy', 'TV Movie', 'Family']",https://image.tmdb.org/t/p/w500/padhrvlsc5OT4jIsQoV3JgFHyD1.jpg
The Puppet Masters,1994,5.8,3.4072,"['Horror', 'Science Fiction', 'Thriller']",https://image.tmdb.org/t/p/w500/mzq5uA0P5nfTH8Fl7OESeuDop8P.jpg
The Land Before Time II: The Great Valley Adventure,1994,6.3,2.4059,"['Animation', 'Adventure', 'Family']",https://image.tmdb.org/t/p/w500/1lIkU6gbqMx4oRDGegawLdQdLJD.jpg
Blank Check,1994,5.9,2.8907,"['Comedy', 'Family']",https://image.tmdb.org/t/p/w500/qhsH1BGqeCDHoogt5ebxOgERJGb.jpg
Doraemon: Nobita's Three Visionary Swordsmen,1994,7.6,3.0073,"['Animation', 'Family']",https://image.tmdb.org/t/p/w500/oCQtdezF7Ap5wm8ICiB3Pzx6wM4.jpg
Slam Dunk 2: National Tournement,1994,5.7,3.4436,"['Drama', 'Animation', 'Comedy']",https://image.tmdb.org/t/p/w500/5NJKxIwL82wYkTB3qHJzkywunEi.jpg
Clerks,1994,7.391,2.6474,['Comedy'],https://image.tmdb.org/t/p/w500/9IiSgiq4h4siTIS9H3o4nZ3h5L9.jpg
Cemetery Man,1994,6.91,3.0641,"['Comedy', 'Horror']",https://image.tmdb.org/t/p/w500/cI5AV3jCuxmoQp0N7Z16SI2b7Xk.jpg
Wagons East!,1994,4.876,3.0963,"['Adventure', 'Comedy', 'Western']",https://image.tmdb.org/t/p/w500/8Q9ulJq69kO6nT1Xs5XnL0dDjje.jpg
Men of War,1994,5.2,2.5295,['Action'],https://image.tmdb.org/t/p/w500/rrwG9foUMulWBI2Nk7s6Bcgwfim.jpg
PCU,1994,5.955,3.047,['Comedy'],https://image.tmdb.org/t/p/w500/xTToUzy9Im9nu2W8fz7TPWoDWN5.jpg
Night of the Demons 2,1994,6.208,2.7229,"['Horror', 'Comedy']",https://image.tmdb.org/t/p/w500/jYyLYsegmcksTVkHL9UcsFbDn04.jpg
Wild Reeds,1994,7.079,2.17,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/yTBEcAsD8OoIs8thYXl7FZuUXN3.jpg
Torment,1994,6.8,2.4746,"['Drama', 'Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/76ccjXiC0sBBGGD75HCQrmGBgP7.jpg
Sirens,1994,5.625,1.9788,"['Comedy', 'Drama']",https://image.tmdb.org/t/p/w500/bOUDHgOlxANs1KsYZEsLSjZBTkd.jpg
From Beijing with Love,1994,7.0,3.425,"['Action', 'Comedy']",https://image.tmdb.org/t/p/w500/k8VaBQYP55yEKD5tNRjn8Egf4rc.jpg
The Road to Wellville,1994,5.578,2.4174,"['Comedy', 'Romance', 'Drama']",https://image.tmdb.org/t/p/w500/zh7OVdFMpqpZ027z9RgVIwzxYjZ.jpg
A Troll in Central Park,1994,5.0,3.1267,"['Fantasy', 'Animation', 'Science Fiction', 'Family']",https://image.tmdb.org/t/p/w500/5RH87MTTrQwfX3HgYD444naIWn7.jpg
Asterix Conquers America,1994,6.2,2.8482,"['Family', 'Animation', 'Adventure', 'Comedy']",https://image.tmdb.org/t/p/w500/lKSunt7dnbITSopaEeeR7KfeSHb.jpg
The Jungle Book,1994,5.943,2.5537,"['Family', 'Adventure', 'Drama']",https://image.tmdb.org/t/p/w500/rYoE6cuup9Ofam6AuYaiJLxF9OO.jpg
Blankman,1994,5.282,3.3298,"['Adventure', 'Comedy', 'Family', 'Action', 'Crime']",https://image.tmdb.org/t/p/w500/9b1zje1Yp3kaJOn8pJqaQ1WLmoj.jpg
Death and the Maiden,1994,7.11,2.4992,"['Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/hlUXQ2aEuYDEE0ok7DORE4uffjl.jpg
Once Were Warriors,1994,7.377,3.6694,['Drama'],https://image.tmdb.org/t/p/w500/1nd4SsytVc96hy92g8NNVPD3mzf.jpg
S.F.W.,1994,6.0,2.2564,"['Comedy', 'Drama']",https://image.tmdb.org/t/p/w500/3bq91jWCReRrqlPn81alSoxeXoP.jpg
The Scout,1994,5.203,3.0918,['Comedy'],https://image.tmdb.org/t/p/w500/a5b1k4wmZShLu1Fo19SzcOJKRlD.jpg
X-Rated,1994,1.0,1.5127,"['TV Movie', 'Drama']",https://image.tmdb.org/t/p/w500/jDmJtNqSrrGTOXfq2TRL4yPpRU3.jpg
Amateur,1994,6.3,2.7466,"['Crime', 'Comedy', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/b9MEES9I2WNjEWULdKsqiHIGQlC.jpg
Blown Away,1994,6.221,2.2279,['Action'],https://image.tmdb.org/t/p/w500/pLmMaqMgJMOOtua41l7ocvzLS1t.jpg
Highlander III: The Sorcerer,1994,4.75,2.8274,"['Fantasy', 'Action', 'Adventure']",https://image.tmdb.org/t/p/w500/b16c3CIPoPmtZPZbTXl4MVGKXNj.jpg
Silent Fall,1994,5.2,2.605,"['Drama', 'Thriller', 'Mystery']",https://image.tmdb.org/t/p/w500/nek7oeAURO3dr3AdKe4Yi3zPNTF.jpg
Guarding Tess,1994,6.0,2.8021,"['Comedy', 'Drama']",https://image.tmdb.org/t/p/w500/4QXsuHFw1teyR48mnXz8jk9P3Gq.jpg
Little Giants,1994,6.5,2.9814,"['Comedy', 'Family']",https://image.tmdb.org/t/p/w500/AkfXNOeKgJSOD08StGd0599auiZ.jpg
Blue Sky,1994,6.1,2.4792,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/494spyPbDukk57ONXp10bfMyOY4.jpg
Totally F***ed Up,1994,6.642,2.4276,"['Comedy', 'Drama']",https://image.tmdb.org/t/p/w500/mBBBq5FDEpco0F2GNYiTKey9VWu.jpg
Serial Mom,1994,6.739,2.0535,"['Comedy', 'Crime']",https://image.tmdb.org/t/p/w500/vAZkFho9YdIXPmMdHMwr10Go2FF.jpg
Slam Dunk: The Movie,1994,6.2,3.0475,"['Drama', 'Animation', 'Comedy']",https://image.tmdb.org/t/p/w500/fQY1bmncRhdvYRnkQmTkSERzWQ2.jpg
Sex and the Emperor,1994,4.0,2.3043,"['Drama', 'Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/6nHUJONnTgKPwUbIN4kiDXMMh0P.jpg
China Moon,1994,6.114,2.504,"['Mystery', 'Thriller']",https://image.tmdb.org/t/p/w500/v2o5uqHety8727LukhGfyAfA8EE.jpg
