brand,battery,ram(GB),storage(GB),price(USD)
Oppo,4000,8,128,880.0
Oppo,4000,8,128,1020.0
Xiaomi,4500,8,64,220.0
Xiaomi,4000,6,32,220.0
Samsung,4000,3,32,1750.0
Samsung,4500,8,128,290.0
Samsung,4500,8,128,260.0
Realme,4035,8,64,130.0
Xiaomi,4000,8,128,450.0
Honor,3750,8,128,250.0
Xiaomi,4000,8,128,600.0
Huawei,4500,12,512,650.0
Oppo,3600,6,128,330.0
Huawei,4200,8,128,190.0
Lenovo,4000,3,16,400.0
Huawei,4200,8,128,340.0
Honor,4000,6,64,130.0
Honor,3020,3,32,90.0
Huawei,4000,8,128,360.0
Xiaomi,4000,8,128,500.0
Lenovo,4050,6,64,250.0
Sony,3140,6,128,500.0
LG,4000,6,128,320.0
Apple,3969,4,64,397.78
Apple,3046,4,64,429.89
Apple,3110,4,64,494.0
Oppo,5000,8,128,260.0
Realme,4000,8,64,290.0
Xiaomi,4030,6,64,320.0
Samsung,6000,6,64,1400.0
Huawei,4500,8,128,550.0
Huawei,4500,8,128,290.0
Oppo,5000,4,32,210.0
Lenovo,4050,4,64,100.0
Realme,4000,8,64,480.0
Samsung,4000,4,32,110.0
Xiaomi,5000,4,32,120.0
OnePlus,3800,8,128,258.5
LG,4000,4,64,140.0
Oppo,5000,6,64,500.0
Oppo,4000,8,128,340.0
LG,4000,8,256,560.0
Honor,4000,8,64,220.0
Huawei,4000,6,64,1290.0
Oppo,4000,8,128,330.0
Samsung,4500,4,64,250.0
Huawei,4000,6,64,1700.0
Xiaomi,5000,4,32,210.0
OnePlus,4085,8,256,1030.0
Google,3700,6,64,250.0
Google,2800,6,64,300.0
Realme,4000,6,64,440.0
OnePlus,4085,12,256,800.0
Huawei,4000,8,64,1440.0
Honor,4000,6,64,240.0
Xiaomi,5260,8,128,400.0
Honor,4100,8,128,500.0
Realme,4000,3,32,100.0
Honor,4200,8,128,430.0
Xiaomi,4000,4,32,250.0
Xiaomi,5260,8,256,480.0
Xiaomi,5260,6,128,380.0
Huawei,4000,6,128,150.0
Realme,5000,4,64,270.0
Huawei,4200,8,128,200.0
Huawei,4100,8,128,220.0
Oppo,4230,4,128,150.0
Huawei,4200,8,128,2150.0
Oppo,4025,8,128,280.0
Oppo,4025,8,128,240.0
Huawei,4000,6,128,280.0
Xiaomi,4500,8,64,260.0
Xiaomi,4500,8,64,210.0
Samsung,4000,8,64,380.0
Samsung,4500,8,128,1020.0
Samsung,3000,2,16,240.0
Oppo,4025,8,128,170.0
Realme,4000,3,32,40.0
Samsung,4050,4,64,380.0
Samsung,4500,8,128,200.0
Samsung,4500,8,128,336.5
Realme,5000,4,32,170.0
Realme,4200,6,64,680.0
Huawei,3340,6,128,140.0
Oppo,4025,8,128,200.0
Huawei,4200,8,128,160.0
Huawei,3020,3,32,290.0
Xiaomi,4500,8,64,179.88
Realme,5000,4,32,90.0
Huawei,4000,4,64,240.0
Oppo,4025,8,128,380.0
Samsung,4000,8,128,770.0
Samsung,4500,8,128,880.0
Samsung,5000,16,128,540.0
Xiaomi,5000,3,32,110.0
Samsung,5000,16,128,540.0
Samsung,4500,8,128,280.0
Samsung,4000,8,128,389.99
Samsung,3300,8,256,550.0
Oppo,4230,6,64,150.0
Xiaomi,4780,6,128,339.0
Xiaomi,4500,8,256,930.0
LG,4000,3,64,220.0
LG,4000,4,64,200.0
LG,4000,3,32,1100.0
Realme,5000,4,32,150.0
LG,3450,3,32,300.0
Sony,3580,3,64,200.0
Sony,4000,8,256,700.0
Sony,3600,4,64,700.0
Huawei,4500,8,512,360.0
Realme,4200,6,128,439.44
Sony,4000,12,512,2000.0
Samsung,6000,8,64,690.0
LG,4000,3,32,130.0
LG,5000,8,128,240.0
LG,5000,8,128,700.0
Huawei,4200,8,128,1950.0
Huawei,5000,4,64,1000.0
Oppo,4025,8,128,200.0
Xiaomi,4720,8,128,390.0
Xiaomi,5000,8,256,940.0
Huawei,4000,4,64,249.99
Realme,4300,8,64,179.99
Realme,4300,8,64,190.0
Oppo,4260,12,256,400.0
Oppo,4200,8,128,440.0
Xiaomi,5020,8,64,180.0
Xiaomi,5020,6,64,280.0
Samsung,4000,4,32,650.0
Oppo,4025,8,128,430.0
Realme,5000,4,64,400.0
Samsung,3500,8,64,160.0
Samsung,6000,6,64,310.0
Xiaomi,5020,6,64,204.95
Xiaomi,4700,6,128,390.0
Samsung,5000,8,64,190.0
Xiaomi,4700,8,128,500.0
Huawei,4200,8,128,520.0
Huawei,4200,8,256,569.9
Huawei,3800,8,128,150.0
Lenovo,5000,4,32,180.0
Xiaomi,4160,8,64,209.06
Honor,3020,3,64,110.0
Honor,4000,8,128,310.0
Honor,5000,4,64,120.0
Samsung,5000,4,32,290.0
Xiaomi,5000,3,32,90.0
Oppo,4230,3,64,227.868
Samsung,4500,8,128,108.88
Samsung,4000,3,32,190.0
