title,release_year,rating,popularity,genres,poster_url
Frenchie,1950,5.7,1.1474,['Western'],https://image.tmdb.org/t/p/w500/3hVqHDpc9TAJbbE6m1lQJ2FAtYq.jpg
The Good Humor Man,1950,6.0,1.1183,"['Adventure', 'Comedy', 'Crime']",https://image.tmdb.org/t/p/w500/4A25eYcdiXWtbMTsW4FV3FPwsKt.jpg
Two Flags West,1950,6.2,1.1617,"['Western', 'War']",https://image.tmdb.org/t/p/w500/334zxF6EMlrhqcvWkt9OrNdG8HL.jpg
Peggy,1950,4.7,1.0059,['Comedy'],https://image.tmdb.org/t/p/w500/2U425hScWWnozC03MZzE25ICIqO.jpg
Side Street,1950,6.6,1.303,"['Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/yt3VdPaLWhfgwsCMMW4DIVlgzdd.jpg
Trail of Robin Hood,1950,5.2,0.9603,['Western'],https://image.tmdb.org/t/p/w500/vWhDiKNnX37hvh0wIwZyuQsbyV6.jpg
The Next Voice You Hear...,1950,5.7,1.0635,"['Drama', 'Fantasy']",https://image.tmdb.org/t/p/w500/6UmXghAhzq5cw11P2n0hYByfIHD.jpg
Sands of Iwo Jima,1950,6.3,1.4609,"['War', 'Drama']",https://image.tmdb.org/t/p/w500/utpy9JLuyhsxpw2E3yExw23f3eS.jpg
Key to the City,1950,6.2,1.0102,"['Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/61Z87n01cx0NLCKqscLiqZdxUsZ.jpg
Armored Car Robbery,1950,6.6,1.2643,"['Thriller', 'Crime', 'Action']",https://image.tmdb.org/t/p/w500/1cYOPFbHEEXcXq8VYlJI5h2QpIe.jpg
Hi-Jacked,1950,4.8,1.0631,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/svX0g0grsip1hCqvQnhXmfeoW7V.jpg
Wyoming Mail,1950,4.4,1.1475,['Western'],https://image.tmdb.org/t/p/w500/fIMKcqymfron3d7UeUqHN6tCmj8.jpg
Harvey,1950,7.672,1.3243,"['Comedy', 'Fantasy']",https://image.tmdb.org/t/p/w500/dgd82hYmpiXDM1G867HqNaWe8wj.jpg
Undercover Girl,1950,5.786,1.0488,"['Crime', 'Drama', 'Mystery']",https://image.tmdb.org/t/p/w500/uAItkEJnD8EUk2IcMGsOMT32mrU.jpg
Devil's Doorway,1950,7.0,1.0324,['Western'],https://image.tmdb.org/t/p/w500/v10XONu2NJ6MyGMMOJKgp2GJYEd.jpg
Tea for Two,1950,6.0,1.3058,"['Comedy', 'Music', 'Romance']",https://image.tmdb.org/t/p/w500/8qeQo1oSoA2C2uBq1av910MHHjC.jpg
Ambush,1950,5.1,1.0334,['Western'],https://image.tmdb.org/t/p/w500/cmmfwAJH1AxV6moF8cqJPdgFfMI.jpg
Winchester '73,1950,7.286,1.1446,['Western'],https://image.tmdb.org/t/p/w500/rqRgjWqSmK9oI6duvigPmn49aVG.jpg
Ma and Pa Kettle Go to Town,1950,6.1,1.0284,['Comedy'],https://image.tmdb.org/t/p/w500/sbtKSsHZsCVmVBTeI0XV1RtP7RF.jpg
Shakedown,1950,6.1,1.0482,"['Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/rA7Zkr2JoKO1aj9NEBHn423djky.jpg
The Nevadan,1950,5.8,1.0931,['Western'],https://image.tmdb.org/t/p/w500/d7JFVv4bUkLu2vQoLpvh1lU3r6E.jpg
Sierra Passage,1950,6.0,1.0,['Western'],https://image.tmdb.org/t/p/w500/caF6rC88BvPqFirfHIaZ8CulEuS.jpg
Crisis,1950,6.62,1.0408,"['Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/qpP3JwkvaBAJIreGruRx0WaLCFG.jpg
Lucky Losers,1950,5.8,0.947,['Comedy'],https://image.tmdb.org/t/p/w500/25qxKy1Yf0RnojEHWeCyrJYkzrA.jpg
Sierra,1950,5.3,0.9639,['Western'],https://image.tmdb.org/t/p/w500/akxybiTgk4qH5Ccp8l5PxxAQdaq.jpg
Last Holiday,1950,7.2,1.2981,"['Comedy', 'Drama']",https://image.tmdb.org/t/p/w500/2rUFvSmkPvMMIhf02uFOfH1TDDA.jpg
Hunt the Man Down,1950,6.2,1.0486,"['Mystery', 'Crime']",https://image.tmdb.org/t/p/w500/7LwYP3brAdkXT0XXLnK8fYq6hpW.jpg
The Happy Years,1950,7.7,1.2107,"['Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/g86d09l5VkA3vOe0vM5SspjfSJ5.jpg
Never Fear,1950,6.1,1.0996,"['Drama', 'Romance']",https://image.tmdb.org/t/p/w500/pzUscrLysCJFQMHatNOF9TJ7FBN.jpg
The Big Hangover,1950,6.1,0.9138,['Comedy'],https://image.tmdb.org/t/p/w500/wAkN5STOD77LAklnYuXgbqL9uVz.jpg
Dial 1119,1950,5.6,0.974,"['Thriller', 'Crime']",https://image.tmdb.org/t/p/w500/zKNX4dxps6uXltOcCHKd2KGgQ19.jpg
Frisco Tornado,1950,6.0,1.0798,['Western'],https://image.tmdb.org/t/p/w500/h4zCNyYENLVqCnjxPsIVWnibZyL.jpg
Chance of a Lifetime,1950,6.3,0.963,['Drama'],https://image.tmdb.org/t/p/w500/iVA0ra37DTxHpTP3eVgEg2MefRe.jpg
Gambling House,1950,6.1,0.9536,"['Crime', 'Drama']",https://image.tmdb.org/t/p/w500/vc3HDYEZxMUgni3Nfbr7eEwkZjQ.jpg
Lonely Heart Bandits,1950,6.5,0.9058,"['Drama', 'Crime']",https://image.tmdb.org/t/p/w500/scdMn0fgwAP2WsZCgLmcCj16o48.jpg
Quicksand,1950,6.1,1.2175,"['Crime', 'Thriller']",https://image.tmdb.org/t/p/w500/rTtFvxrHpLECgLE86zStkHYxTyx.jpg
Father Is a Bachelor,1950,7.4,0.8833,"['Comedy', 'Family']",https://image.tmdb.org/t/p/w500/9DcOPemke5fmZkvMZMg0ikVfGQ.jpg
Where the Sidewalk Ends,1950,7.2,1.1718,"['Crime', 'Drama', 'Thriller']",https://image.tmdb.org/t/p/w500/27Q0i6ZjmRnjfvegksunixnLxuG.jpg
Branded,1950,5.9,0.9826,['Western'],https://image.tmdb.org/t/p/w500/e84Md7wUVzpOHaAPt02i2yUc061.jpg
El Portero,1950,7.5,0.846,['Comedy'],https://image.tmdb.org/t/p/w500/vNl4fPcs3TxzfJCHPElt3So389k.jpg
Madeleine,1950,6.7,0.8925,"['Drama', 'Crime', 'Mystery']",https://image.tmdb.org/t/p/w500/nQsThlhGuWUn8h3vpdbK3Kr4qGM.jpg
The Savage Horde,1950,5.8,0.8296,['Western'],https://image.tmdb.org/t/p/w500/g3tveuDg5gwOES1lxnbSwhzxcoB.jpg
Gunmen of Abilene,1950,6.0,0.8873,"['Action', 'Western']",https://image.tmdb.org/t/p/w500/3DMIZ8lFWpHc7jPAiUIkifx9uXo.jpg
The Yellow Cab Man,1950,6.3,0.9489,"['Comedy', 'Drama', 'Romance']",https://image.tmdb.org/t/p/w500/nqGqwcxzKq5weVFNleDtWCPvjiq.jpg
Three Little Words,1950,5.9,0.9295,"['Music', 'Comedy', 'Romance']",https://image.tmdb.org/t/p/w500/7O9keBF6bcKKAAD05LqT382z837.jpg
